2026-03-03-14-33-58 - 0000	 - IoU 0.0006	 - PD 0.0038	 - FA 994635.6800
2026-03-03-14-34-42 - 0001	 - IoU 0.0007	 - PD 0.0608	 - FA 840082.8994
2026-03-03-14-35-26 - 0002	 - IoU 0.0009	 - PD 0.1027	 - FA 553927.4840
2026-03-03-14-35-56 - 0003	 - IoU 0.0017	 - PD 0.1692	 - FA 262113.6959
2026-03-03-14-37-10 - 0005	 - IoU 0.0022	 - PD 0.0906	 - FA 175364.0576
2026-03-03-14-39-47 - 0009	 - IoU 0.0031	 - PD 0.0791	 - FA 177391.0522
2026-03-03-14-40-54 - 0011	 - IoU 0.0058	 - PD 0.0700	 - FA 68228.6058
2026-03-03-14-41-39 - 0012	 - IoU 0.0064	 - PD 0.0676	 - FA 80315.7771
2026-03-03-14-42-50 - 0014	 - IoU 0.0086	 - PD 0.0575	 - FA 46080.5447
2026-03-03-14-45-19 - 0018	 - IoU 0.0104	 - PD 0.0472	 - FA 40138.4585
2026-03-03-14-46-34 - 0020	 - IoU 0.0109	 - PD 0.0436	 - FA 39009.3081
2026-03-03-14-47-09 - 0021	 - IoU 0.0184	 - PD 0.0378	 - FA 16794.7217
2026-03-03-14-48-20 - 0023	 - IoU 0.0213	 - PD 0.0390	 - FA 21577.4964
2026-03-03-14-53-20 - 0031	 - IoU 0.0224	 - PD 0.0286	 - FA 18738.0782
2026-03-03-14-55-16 - 0034	 - IoU 0.4096	 - PD 0.0264	 - FA 378.8315
2026-03-03-14-58-56 - 0040	 - IoU 0.4148	 - PD 0.0218	 - FA 340.1854
2026-03-03-15-02-08 - 0045	 - IoU 0.4788	 - PD 0.0189	 - FA 228.7392
2026-03-03-15-03-59 - 0048	 - IoU 0.5203	 - PD 0.0177	 - FA 56.3292
2026-03-03-15-21-42 - 0076	 - IoU 0.5268	 - PD 0.0121	 - FA 177.3299
2026-03-03-15-22-58 - 0078	 - IoU 0.5309	 - PD 0.0117	 - FA 184.3176
2026-03-03-15-26-50 - 0084	 - IoU 0.5441	 - PD 0.0105	 - FA 166.1354
2026-03-03-15-27-27 - 0085	 - IoU 0.5699	 - PD 0.0106	 - FA 128.4876
2026-03-03-15-39-03 - 0104	 - IoU 0.6129	 - PD 0.0088	 - FA 89.3423
2026-03-03-15-39-37 - 0105	 - IoU 0.6203	 - PD 0.0085	 - FA 60.1082
2026-03-03-15-55-26 - 0130	 - IoU 0.6207	 - PD 0.0071	 - FA 98.1839
2026-03-03-16-19-32 - 0168	 - IoU 0.6210	 - PD 0.0057	 - FA 108.0950
2026-03-03-16-22-43 - 0173	 - IoU 0.6391	 - PD 0.0054	 - FA 79.0034
2026-03-03-16-27-39 - 0181	 - IoU 0.6472	 - PD 0.0051	 - FA 65.3133
2026-03-03-16-46-44 - 0211	 - IoU 0.6754	 - PD 0.0045	 - FA 59.9656
2026-03-03-16-47-24 - 0212	 - IoU 0.6977	 - PD 0.0045	 - FA 40.5000
2026-03-03-17-37-07 - 0372	 - IoU 0.6992	 - PD 0.0026	 - FA 43.5660
2026-03-03-17-38-38 - 0381	 - IoU 0.7155	 - PD 0.0025	 - FA 34.6531
