2026-03-03-06-14-19 - 0000	 - IoU 0.0175	 - PD 0.0532	 - FA 396.8711
2026-03-03-06-27-50 - 0022	 - IoU 0.0579	 - PD 0.0410	 - FA 7261.1871
2026-03-03-06-29-45 - 0025	 - IoU 0.0813	 - PD 0.0341	 - FA 4436.9564
2026-03-03-06-30-26 - 0026	 - IoU 0.0958	 - PD 0.0353	 - FA 4163.2964
2026-03-03-06-30-58 - 0027	 - IoU 0.2781	 - PD 0.0285	 - FA 534.8419
2026-03-03-06-31-39 - 0028	 - IoU 0.3345	 - PD 0.0290	 - FA 421.2567
2026-03-03-06-37-04 - 0037	 - IoU 0.4366	 - PD 0.0249	 - FA 379.6872
2026-03-03-06-38-17 - 0039	 - IoU 0.4546	 - PD 0.0241	 - FA 347.1731
2026-03-03-06-40-10 - 0042	 - IoU 0.4569	 - PD 0.0213	 - FA 221.7516
2026-03-03-06-42-50 - 0046	 - IoU 0.4977	 - PD 0.0197	 - FA 210.4144
2026-03-03-06-43-20 - 0047	 - IoU 0.5247	 - PD 0.0192	 - FA 189.5940
2026-03-03-06-44-03 - 0048	 - IoU 0.5763	 - PD 0.0189	 - FA 93.1927
2026-03-03-06-49-53 - 0057	 - IoU 0.6344	 - PD 0.0165	 - FA 63.9586
2026-03-03-06-53-35 - 0063	 - IoU 0.6449	 - PD 0.0150	 - FA 63.3881
2026-03-03-06-55-34 - 0066	 - IoU 0.6544	 - PD 0.0142	 - FA 48.3433
2026-03-03-06-56-46 - 0068	 - IoU 0.6656	 - PD 0.0139	 - FA 59.8230
2026-03-03-07-04-20 - 0080	 - IoU 0.6682	 - PD 0.0116	 - FA 19.8935
2026-03-03-07-06-17 - 0083	 - IoU 0.6907	 - PD 0.0114	 - FA 39.5730
2026-03-03-07-27-01 - 0116	 - IoU 0.6961	 - PD 0.0083	 - FA 46.7746
2026-03-03-07-35-06 - 0129	 - IoU 0.6996	 - PD 0.0074	 - FA 34.9383
2026-03-03-07-42-04 - 0140	 - IoU 0.7038	 - PD 0.0068	 - FA 27.5942
2026-03-03-07-52-42 - 0157	 - IoU 0.7089	 - PD 0.0061	 - FA 31.3732
2026-03-03-08-01-35 - 0171	 - IoU 0.7113	 - PD 0.0056	 - FA 35.9366
2026-03-03-08-10-28 - 0185	 - IoU 0.7113	 - PD 0.0052	 - FA 24.6708
2026-03-03-08-50-40 - 0249	 - IoU 0.7165	 - PD 0.0038	 - FA 26.8811
2026-03-03-08-52-37 - 0252	 - IoU 0.7199	 - PD 0.0038	 - FA 28.5211
2026-03-03-08-54-26 - 0255	 - IoU 0.7271	 - PD 0.0038	 - FA 21.3195
