2026-03-07-01-20-05 - 0000	 - IoU 0.0003	 - PD 0.0408	 - FA 834220.3928
2026-03-07-01-20-30 - 0001	 - IoU 0.0016	 - PD 0.3537	 - FA 143726.7854
2026-03-07-01-20-55 - 0002	 - IoU 0.1193	 - PD 0.2256	 - FA 953.4086
2026-03-07-01-21-20 - 0003	 - IoU 0.2676	 - PD 0.1803	 - FA 285.7417
2026-03-07-01-21-45 - 0004	 - IoU 0.3725	 - PD 0.1544	 - FA 143.0986
2026-03-07-01-23-03 - 0007	 - IoU 0.4330	 - PD 0.0918	 - FA 46.7633
2026-03-07-01-24-51 - 0011	 - IoU 0.4465	 - PD 0.0643	 - FA 46.7633
2026-03-07-01-26-39 - 0015	 - IoU 0.5007	 - PD 0.0519	 - FA 36.2112
2026-03-07-01-30-37 - 0024	 - IoU 0.5074	 - PD 0.0351	 - FA 90.7936
2026-03-07-01-32-24 - 0028	 - IoU 0.5342	 - PD 0.0310	 - FA 69.0062
2026-03-07-01-35-32 - 0035	 - IoU 0.5440	 - PD 0.0247	 - FA 17.7640
2026-03-07-01-38-13 - 0041	 - IoU 0.5727	 - PD 0.0219	 - FA 46.6114
2026-03-07-01-38-40 - 0042	 - IoU 0.5868	 - PD 0.0209	 - FA 32.7950
2026-03-07-01-40-27 - 0046	 - IoU 0.6032	 - PD 0.0190	 - FA 28.9234
2026-03-07-01-45-48 - 0058	 - IoU 0.6050	 - PD 0.0157	 - FA 32.1877
2026-03-07-01-48-54 - 0065	 - IoU 0.6064	 - PD 0.0135	 - FA 27.4051
2026-03-07-02-24-28 - 0145	 - IoU 0.6188	 - PD 0.0062	 - FA 26.0386
2026-03-07-02-26-43 - 0150	 - IoU 0.6259	 - PD 0.0060	 - FA 18.9027
2026-03-07-02-28-58 - 0155	 - IoU 0.6370	 - PD 0.0058	 - FA 27.9365
2026-03-07-02-52-40 - 0208	 - IoU 0.6371	 - PD 0.0044	 - FA 21.5597
2026-03-07-02-55-48 - 0215	 - IoU 0.6468	 - PD 0.0042	 - FA 16.3216
2026-03-07-03-31-32 - 0295	 - IoU 0.6484	 - PD 0.0031	 - FA 22.3188
2026-03-07-03-36-00 - 0305	 - IoU 0.6572	 - PD 0.0031	 - FA 16.3975
2026-03-07-03-36-58 - 0307	 - IoU 0.6579	 - PD 0.0030	 - FA 20.2691
2026-03-07-03-55-26 - 0348	 - IoU 0.6620	 - PD 0.0027	 - FA 16.3975
2026-03-07-04-06-43 - 0373	 - IoU 0.6628	 - PD 0.0025	 - FA 14.5756
2026-03-07-04-17-32 - 0397	 - IoU 0.6653	 - PD 0.0023	 - FA 11.4631
