2026-03-03-10-26-53 - 0000	 - IoU 0.0009	 - PD 0.1255	 - FA 631354.3587
2026-03-03-10-27-23 - 0001	 - IoU 0.0021	 - PD 0.2452	 - FA 162886.2185
2026-03-03-10-32-23 - 0009	 - IoU 0.0024	 - PD 0.0669	 - FA 197499.8545
2026-03-03-10-33-06 - 0010	 - IoU 0.1955	 - PD 0.0377	 - FA 56.2579
2026-03-03-10-36-48 - 0016	 - IoU 0.2973	 - PD 0.0429	 - FA 449.5639
2026-03-03-10-42-55 - 0026	 - IoU 0.3270	 - PD 0.0313	 - FA 500.3314
2026-03-03-10-52-46 - 0042	 - IoU 0.3753	 - PD 0.0205	 - FA 509.5295
2026-03-03-10-53-16 - 0043	 - IoU 0.4771	 - PD 0.0199	 - FA 216.3326
2026-03-03-10-57-46 - 0050	 - IoU 0.4841	 - PD 0.0177	 - FA 258.8290
2026-03-03-11-05-57 - 0064	 - IoU 0.4849	 - PD 0.0145	 - FA 338.3316
2026-03-03-11-07-13 - 0066	 - IoU 0.5441	 - PD 0.0140	 - FA 234.3008
2026-03-03-11-11-27 - 0073	 - IoU 0.5460	 - PD 0.0130	 - FA 208.2753
2026-03-03-11-12-41 - 0075	 - IoU 0.6221	 - PD 0.0124	 - FA 86.9894
2026-03-03-11-33-34 - 0109	 - IoU 0.6566	 - PD 0.0087	 - FA 63.2455
2026-03-03-11-42-18 - 0123	 - IoU 0.6815	 - PD 0.0076	 - FA 27.6655
2026-03-03-12-16-51 - 0179	 - IoU 0.6841	 - PD 0.0053	 - FA 55.6874
2026-03-03-13-29-44 - 0297	 - IoU 0.6937	 - PD 0.0033	 - FA 53.0492
2026-03-03-13-30-20 - 0298	 - IoU 0.7106	 - PD 0.0032	 - FA 22.9595
