2026-03-03-18-00-26 - 0000	 - IoU 0.0003	 - PD 0.0850	 - FA 870475.5033
2026-03-03-18-00-44 - 0001	 - IoU 0.0009	 - PD 0.2432	 - FA 227985.2872
2026-03-03-18-01-02 - 0002	 - IoU 0.0017	 - PD 0.1973	 - FA 101726.2473
2026-03-03-18-01-37 - 0004	 - IoU 0.0032	 - PD 0.1497	 - FA 60685.6465
2026-03-03-18-01-54 - 0005	 - IoU 0.0759	 - PD 0.1304	 - FA 2203.3388
2026-03-03-18-02-12 - 0006	 - IoU 0.2019	 - PD 0.1084	 - FA 374.6374
2026-03-03-18-02-30 - 0007	 - IoU 0.3936	 - PD 0.1046	 - FA 154.1062
2026-03-03-18-03-40 - 0011	 - IoU 0.4041	 - PD 0.0726	 - FA 169.9723
2026-03-03-18-03-57 - 0012	 - IoU 0.4853	 - PD 0.0670	 - FA 93.3747
2026-03-03-18-04-15 - 0013	 - IoU 0.4879	 - PD 0.0629	 - FA 46.9151
2026-03-03-18-05-25 - 0017	 - IoU 0.5207	 - PD 0.0474	 - FA 63.7681
2026-03-03-18-05-43 - 0018	 - IoU 0.5238	 - PD 0.0448	 - FA 51.4699
2026-03-03-18-06-18 - 0020	 - IoU 0.5318	 - PD 0.0415	 - FA 31.1249
2026-03-03-18-06-53 - 0022	 - IoU 0.5611	 - PD 0.0404	 - FA 55.7971
2026-03-03-18-08-38 - 0028	 - IoU 0.5641	 - PD 0.0293	 - FA 11.3872
2026-03-03-18-08-56 - 0029	 - IoU 0.5863	 - PD 0.0306	 - FA 41.0697
2026-03-03-18-12-09 - 0040	 - IoU 0.6056	 - PD 0.0218	 - FA 20.4969
