2026-03-06-22-20-55 - 0000	 - IoU 0.0002	 - PD 0.0034	 - FA 413962.9763
2026-03-06-22-21-20 - 0001	 - IoU 0.0006	 - PD 0.2092	 - FA 358126.2086
2026-03-06-22-21-45 - 0002	 - IoU 0.0031	 - PD 0.1678	 - FA 45423.8968
2026-03-06-22-23-02 - 0005	 - IoU 0.2305	 - PD 0.1168	 - FA 264.7134
2026-03-06-22-23-58 - 0007	 - IoU 0.2440	 - PD 0.1033	 - FA 341.6906
2026-03-06-22-24-24 - 0008	 - IoU 0.3894	 - PD 0.0862	 - FA 109.9999
2026-03-06-22-24-51 - 0009	 - IoU 0.3999	 - PD 0.0786	 - FA 105.7487
2026-03-06-22-26-11 - 0012	 - IoU 0.4004	 - PD 0.0641	 - FA 142.1876
2026-03-06-22-26-38 - 0013	 - IoU 0.4451	 - PD 0.0612	 - FA 112.2014
2026-03-06-22-27-05 - 0014	 - IoU 0.4492	 - PD 0.0553	 - FA 61.2629
2026-03-06-22-27-33 - 0015	 - IoU 0.4561	 - PD 0.0506	 - FA 29.9862
2026-03-06-22-28-53 - 0018	 - IoU 0.4873	 - PD 0.0464	 - FA 84.4927
2026-03-06-22-30-14 - 0021	 - IoU 0.5007	 - PD 0.0402	 - FA 82.1394
2026-03-06-22-30-41 - 0022	 - IoU 0.5298	 - PD 0.0392	 - FA 70.1449
2026-03-06-22-33-22 - 0028	 - IoU 0.5455	 - PD 0.0304	 - FA 53.8233
2026-03-06-22-40-03 - 0043	 - IoU 0.5576	 - PD 0.0209	 - FA 60.2760
2026-03-06-22-43-39 - 0051	 - IoU 0.5636	 - PD 0.0177	 - FA 40.8419
2026-03-06-22-46-21 - 0057	 - IoU 0.5840	 - PD 0.0158	 - FA 30.2898
2026-03-06-22-49-02 - 0063	 - IoU 0.5870	 - PD 0.0146	 - FA 47.5224
2026-03-06-22-50-22 - 0066	 - IoU 0.5906	 - PD 0.0138	 - FA 43.4989
2026-03-06-22-51-43 - 0069	 - IoU 0.6032	 - PD 0.0131	 - FA 46.9910
2026-03-06-22-52-09 - 0070	 - IoU 0.6315	 - PD 0.0130	 - FA 32.3395
2026-03-06-22-54-23 - 0075	 - IoU 0.6377	 - PD 0.0122	 - FA 27.4810
2026-03-06-22-58-50 - 0085	 - IoU 0.6420	 - PD 0.0106	 - FA 23.9889
2026-03-06-23-11-17 - 0113	 - IoU 0.6582	 - PD 0.0082	 - FA 17.9158
2026-03-06-23-14-26 - 0120	 - IoU 0.6599	 - PD 0.0077	 - FA 26.6459
2026-03-06-23-21-08 - 0135	 - IoU 0.6638	 - PD 0.0069	 - FA 15.5624
2026-03-06-23-54-22 - 0209	 - IoU 0.6681	 - PD 0.0045	 - FA 15.8661
2026-03-06-23-58-59 - 0219	 - IoU 0.6751	 - PD 0.0042	 - FA 12.2981
2026-03-07-00-15-55 - 0257	 - IoU 0.6789	 - PD 0.0036	 - FA 12.1463
