2026-03-03-06-14-41 - 0000	 - IoU 0.0338	 - PD 0.1388	 - FA 44.5002
2026-03-03-06-15-44 - 0001	 - IoU 0.0399	 - PD 0.1053	 - FA 96.8240
2026-03-03-06-18-44 - 0004	 - IoU 0.0481	 - PD 0.0746	 - FA 100.3751
2026-03-03-06-19-49 - 0005	 - IoU 0.0817	 - PD 0.0439	 - FA 15.5362
2026-03-03-06-20-46 - 0006	 - IoU 0.1037	 - PD 0.0574	 - FA 41.8368
2026-03-03-06-21-51 - 0007	 - IoU 0.1155	 - PD 0.0449	 - FA 27.2439
2026-03-03-06-23-53 - 0009	 - IoU 0.1378	 - PD 0.0411	 - FA 17.5892
2026-03-03-06-25-54 - 0011	 - IoU 0.1676	 - PD 0.0347	 - FA 12.9284
2026-03-03-06-27-57 - 0013	 - IoU 0.1792	 - PD 0.0297	 - FA 11.1528
2026-03-03-06-34-07 - 0019	 - IoU 0.1830	 - PD 0.0251	 - FA 14.7039
2026-03-03-06-37-10 - 0022	 - IoU 0.1879	 - PD 0.0204	 - FA 11.2638
2026-03-03-06-40-14 - 0025	 - IoU 0.1910	 - PD 0.0206	 - FA 25.7457
2026-03-03-06-41-15 - 0026	 - IoU 0.2419	 - PD 0.0188	 - FA 11.2083
2026-03-03-06-46-26 - 0031	 - IoU 0.2477	 - PD 0.0175	 - FA 18.6435
2026-03-03-06-47-30 - 0032	 - IoU 0.2627	 - PD 0.0177	 - FA 15.1478
2026-03-03-06-58-13 - 0042	 - IoU 0.2656	 - PD 0.0113	 - FA 8.5449
2026-03-03-06-59-29 - 0043	 - IoU 0.2743	 - PD 0.0112	 - FA 7.1578
2026-03-03-07-00-43 - 0044	 - IoU 0.2907	 - PD 0.0122	 - FA 9.7656
2026-03-03-07-03-12 - 0046	 - IoU 0.2939	 - PD 0.0120	 - FA 12.3180
2026-03-03-07-14-17 - 0055	 - IoU 0.3011	 - PD 0.0100	 - FA 6.2700
2026-03-03-07-21-43 - 0061	 - IoU 0.3052	 - PD 0.0086	 - FA 7.0468
2026-03-03-07-22-55 - 0062	 - IoU 0.3090	 - PD 0.0084	 - FA 7.7681
2026-03-03-07-24-12 - 0063	 - IoU 0.3128	 - PD 0.0085	 - FA 7.2687
2026-03-03-07-25-26 - 0064	 - IoU 0.3151	 - PD 0.0086	 - FA 7.5462
2026-03-03-07-34-08 - 0071	 - IoU 0.3192	 - PD 0.0080	 - FA 8.4339
2026-03-03-07-46-32 - 0081	 - IoU 0.3264	 - PD 0.0072	 - FA 6.7139
2026-03-03-07-47-45 - 0082	 - IoU 0.3356	 - PD 0.0074	 - FA 7.9901
2026-03-03-07-51-28 - 0085	 - IoU 0.3386	 - PD 0.0073	 - FA 8.2675
2026-03-03-07-55-11 - 0088	 - IoU 0.3437	 - PD 0.0066	 - FA 6.4919
2026-03-03-08-16-15 - 0105	 - IoU 0.3455	 - PD 0.0058	 - FA 8.6559
2026-03-03-08-21-12 - 0109	 - IoU 0.3471	 - PD 0.0051	 - FA 5.4377
2026-03-03-08-22-29 - 0110	 - IoU 0.3721	 - PD 0.0056	 - FA 6.7694
2026-03-03-08-23-39 - 0111	 - IoU 0.3728	 - PD 0.0057	 - FA 8.7669
2026-03-03-09-20-42 - 0157	 - IoU 0.3733	 - PD 0.0042	 - FA 7.8791
2026-03-03-09-43-01 - 0175	 - IoU 0.3752	 - PD 0.0040	 - FA 9.9321
2026-03-03-09-56-39 - 0186	 - IoU 0.3840	 - PD 0.0037	 - FA 7.9901
2026-03-03-10-40-57 - 0222	 - IoU 0.3855	 - PD 0.0031	 - FA 7.6017
2026-03-03-11-16-22 - 0251	 - IoU 0.3953	 - PD 0.0027	 - FA 8.4339
2026-03-03-12-03-09 - 0289	 - IoU 0.3987	 - PD 0.0024	 - FA 7.5462
2026-03-03-13-34-17 - 0363	 - IoU 0.3987	 - PD 0.0019	 - FA 8.3230
2026-03-03-14-12-28 - 0394	 - IoU 0.3997	 - PD 0.0018	 - FA 7.6571
2026-03-03-14-13-45 - 0395	 - IoU 0.4056	 - PD 0.0018	 - FA 7.0468
