2026-03-06-06-14-29 - 0000	 - IoU 0.0020	 - PD 0.4796	 - FA 57043.1989
2026-03-06-06-16-41 - 0005	 - IoU 0.0049	 - PD 0.1264	 - FA 31386.9495
2026-03-06-06-17-08 - 0006	 - IoU 0.3196	 - PD 0.1040	 - FA 192.4429
2026-03-06-06-17-37 - 0007	 - IoU 0.3888	 - PD 0.0906	 - FA 79.8619
2026-03-06-06-18-05 - 0008	 - IoU 0.4270	 - PD 0.0892	 - FA 80.2415
2026-03-06-06-19-02 - 0010	 - IoU 0.4406	 - PD 0.0745	 - FA 89.3512
2026-03-06-06-19-48 - 0011	 - IoU 0.4420	 - PD 0.0680	 - FA 87.6811
2026-03-06-06-20-15 - 0012	 - IoU 0.4848	 - PD 0.0628	 - FA 60.3519
2026-03-06-06-21-38 - 0015	 - IoU 0.4869	 - PD 0.0497	 - FA 51.6218
2026-03-06-06-23-01 - 0018	 - IoU 0.5315	 - PD 0.0453	 - FA 46.9910
2026-03-06-06-25-47 - 0024	 - IoU 0.5446	 - PD 0.0346	 - FA 28.4679
2026-03-06-06-27-08 - 0027	 - IoU 0.5605	 - PD 0.0317	 - FA 59.7446
2026-03-06-06-30-49 - 0035	 - IoU 0.5607	 - PD 0.0257	 - FA 56.7840
2026-03-06-06-32-39 - 0039	 - IoU 0.6192	 - PD 0.0232	 - FA 36.2112
2026-03-06-06-34-03 - 0042	 - IoU 0.6306	 - PD 0.0208	 - FA 21.4079
2026-03-06-06-39-35 - 0054	 - IoU 0.6371	 - PD 0.0169	 - FA 31.6563
2026-03-06-06-52-47 - 0083	 - IoU 0.6438	 - PD 0.0110	 - FA 23.7612
2026-03-06-06-57-46 - 0094	 - IoU 0.6514	 - PD 0.0097	 - FA 20.4969
2026-03-06-07-06-21 - 0113	 - IoU 0.6526	 - PD 0.0082	 - FA 21.1042
2026-03-06-07-14-31 - 0131	 - IoU 0.6533	 - PD 0.0071	 - FA 21.4838
2026-03-06-07-21-48 - 0147	 - IoU 0.6573	 - PD 0.0062	 - FA 19.2063
2026-03-06-07-24-03 - 0152	 - IoU 0.6610	 - PD 0.0061	 - FA 18.5231
2026-03-06-07-27-14 - 0159	 - IoU 0.6634	 - PD 0.0057	 - FA 17.3085
2026-03-06-07-28-36 - 0162	 - IoU 0.6729	 - PD 0.0057	 - FA 12.8295
2026-03-06-07-36-48 - 0180	 - IoU 0.6819	 - PD 0.0051	 - FA 12.6018
