2026-03-03-11-04-04 - 0000	 - IoU 0.0007	 - PD 0.4932	 - FA 338311.5702
2026-03-03-11-05-26 - 0002	 - IoU 0.0007	 - PD 0.2347	 - FA 329594.0190
2026-03-03-11-06-07 - 0003	 - IoU 0.0015	 - PD 0.1956	 - FA 141989.1054
2026-03-03-11-06-47 - 0004	 - IoU 0.0649	 - PD 0.1544	 - FA 2040.5784
2026-03-03-11-13-52 - 0015	 - IoU 0.4414	 - PD 0.0534	 - FA 94.9689
2026-03-03-11-26-20 - 0034	 - IoU 0.5271	 - PD 0.0248	 - FA 39.1718
2026-03-03-11-28-59 - 0038	 - IoU 0.5739	 - PD 0.0229	 - FA 40.9178
2026-03-03-11-30-55 - 0041	 - IoU 0.5863	 - PD 0.0215	 - FA 49.1925
2026-03-03-11-35-46 - 0048	 - IoU 0.5880	 - PD 0.0185	 - FA 45.8523
2026-03-03-11-36-28 - 0049	 - IoU 0.6007	 - PD 0.0187	 - FA 55.7971
2026-03-03-11-53-39 - 0074	 - IoU 0.6038	 - PD 0.0124	 - FA 37.5017
2026-03-03-11-55-38 - 0077	 - IoU 0.6095	 - PD 0.0116	 - FA 34.2374
2026-03-03-11-59-08 - 0082	 - IoU 0.6135	 - PD 0.0111	 - FA 29.7584
2026-03-03-11-59-48 - 0083	 - IoU 0.6329	 - PD 0.0108	 - FA 37.1980
2026-03-03-12-50-35 - 0157	 - IoU 0.6337	 - PD 0.0059	 - FA 38.1849
2026-03-03-12-51-08 - 0158	 - IoU 0.6533	 - PD 0.0058	 - FA 19.2823
2026-03-03-13-42-40 - 0233	 - IoU 0.6604	 - PD 0.0040	 - FA 20.8765
