2026-03-03-14-20-51 - 0000	 - IoU 0.0114	 - PD 0.1627	 - FA 519.3537
2026-03-03-14-21-53 - 0001	 - IoU 0.0502	 - PD 0.0694	 - FA 30.2956
2026-03-03-14-24-58 - 0004	 - IoU 0.0509	 - PD 0.0603	 - FA 82.6749
2026-03-03-14-26-00 - 0005	 - IoU 0.0570	 - PD 0.0694	 - FA 106.5341
2026-03-03-14-27-02 - 0006	 - IoU 0.0798	 - PD 0.0308	 - FA 8.8224
2026-03-03-14-29-05 - 0008	 - IoU 0.1109	 - PD 0.0463	 - FA 36.8430
2026-03-03-14-30-07 - 0009	 - IoU 0.1278	 - PD 0.0388	 - FA 17.2008
2026-03-03-14-32-10 - 0011	 - IoU 0.1293	 - PD 0.0347	 - FA 21.5843
2026-03-03-14-34-00 - 0013	 - IoU 0.1306	 - PD 0.0325	 - FA 26.2451
2026-03-03-14-35-01 - 0014	 - IoU 0.1339	 - PD 0.0313	 - FA 27.1884
2026-03-03-14-37-04 - 0016	 - IoU 0.1537	 - PD 0.0245	 - FA 18.4770
2026-03-03-14-39-09 - 0018	 - IoU 0.1658	 - PD 0.0229	 - FA 12.6509
2026-03-03-14-48-23 - 0027	 - IoU 0.1700	 - PD 0.0181	 - FA 26.9664
2026-03-03-14-49-28 - 0028	 - IoU 0.1892	 - PD 0.0180	 - FA 20.4745
2026-03-03-14-51-32 - 0030	 - IoU 0.1963	 - PD 0.0174	 - FA 28.0207
2026-03-03-14-55-38 - 0034	 - IoU 0.2142	 - PD 0.0174	 - FA 30.2401
2026-03-03-14-56-36 - 0035	 - IoU 0.2147	 - PD 0.0167	 - FA 24.5805
2026-03-03-14-57-43 - 0036	 - IoU 0.2315	 - PD 0.0155	 - FA 19.1428
2026-03-03-15-01-50 - 0040	 - IoU 0.2530	 - PD 0.0127	 - FA 10.7089
2026-03-03-15-09-41 - 0047	 - IoU 0.2670	 - PD 0.0120	 - FA 16.2575
2026-03-03-15-15-18 - 0052	 - IoU 0.2911	 - PD 0.0104	 - FA 13.6497
2026-03-03-16-51-30 - 0138	 - IoU 0.2984	 - PD 0.0047	 - FA 14.4265
