2026-03-03-06-15-31 - 0000	 - IoU 0.0123	 - PD 0.1799	 - FA 4846.2971
2026-03-03-06-30-47 - 0008	 - IoU 0.0125	 - PD 0.0981	 - FA 38591.3159
2026-03-03-06-32-41 - 0009	 - IoU 0.0275	 - PD 0.0893	 - FA 15356.7992
2026-03-03-06-34-38 - 0010	 - IoU 0.1074	 - PD 0.0777	 - FA 3261.5432
2026-03-03-06-36-35 - 0011	 - IoU 0.1831	 - PD 0.0697	 - FA 1466.7741
2026-03-03-06-38-27 - 0012	 - IoU 0.2299	 - PD 0.0671	 - FA 987.1563
2026-03-03-06-42-12 - 0014	 - IoU 0.3703	 - PD 0.0587	 - FA 419.0192
2026-03-03-06-48-00 - 0017	 - IoU 0.3739	 - PD 0.0509	 - FA 480.4680
2026-03-03-06-49-59 - 0018	 - IoU 0.4389	 - PD 0.0470	 - FA 285.3210
2026-03-03-07-03-06 - 0025	 - IoU 0.4448	 - PD 0.0360	 - FA 370.4393
2026-03-03-07-08-53 - 0028	 - IoU 0.4646	 - PD 0.0326	 - FA 355.4103
2026-03-03-07-10-39 - 0029	 - IoU 0.5062	 - PD 0.0314	 - FA 258.5492
2026-03-03-07-12-37 - 0030	 - IoU 0.5068	 - PD 0.0296	 - FA 224.8373
2026-03-03-07-14-28 - 0031	 - IoU 0.5312	 - PD 0.0291	 - FA 210.9344
2026-03-03-07-29-28 - 0039	 - IoU 0.5542	 - PD 0.0233	 - FA 162.6762
2026-03-03-07-31-21 - 0040	 - IoU 0.5795	 - PD 0.0235	 - FA 187.6096
2026-03-03-07-50-50 - 0050	 - IoU 0.5979	 - PD 0.0180	 - FA 61.6786
2026-03-03-07-58-35 - 0054	 - IoU 0.6239	 - PD 0.0173	 - FA 86.7729
2026-03-03-08-14-09 - 0062	 - IoU 0.6313	 - PD 0.0148	 - FA 67.3547
2026-03-03-08-39-29 - 0075	 - IoU 0.6350	 - PD 0.0122	 - FA 58.9440
2026-03-03-08-41-31 - 0076	 - IoU 0.6465	 - PD 0.0121	 - FA 62.5289
2026-03-03-08-47-15 - 0079	 - IoU 0.6685	 - PD 0.0117	 - FA 57.0366
2026-03-03-08-49-13 - 0080	 - IoU 0.6720	 - PD 0.0115	 - FA 35.1825
2026-03-03-09-18-22 - 0095	 - IoU 0.6835	 - PD 0.0098	 - FA 27.9438
2026-03-03-09-22-23 - 0097	 - IoU 0.6868	 - PD 0.0095	 - FA 32.9305
2026-03-03-09-30-07 - 0101	 - IoU 0.6964	 - PD 0.0093	 - FA 45.3857
2026-03-03-09-47-36 - 0110	 - IoU 0.6979	 - PD 0.0085	 - FA 57.3813
2026-03-03-09-49-36 - 0111	 - IoU 0.7029	 - PD 0.0084	 - FA 45.9602
2026-03-03-10-20-49 - 0127	 - IoU 0.7096	 - PD 0.0074	 - FA 34.1255
2026-03-03-10-28-11 - 0131	 - IoU 0.7133	 - PD 0.0072	 - FA 42.3523
2026-03-03-11-06-24 - 0151	 - IoU 0.7204	 - PD 0.0063	 - FA 45.0410
2026-03-03-11-10-20 - 0153	 - IoU 0.7222	 - PD 0.0062	 - FA 38.3538
2026-03-03-11-18-12 - 0157	 - IoU 0.7284	 - PD 0.0060	 - FA 29.5065
2026-03-03-11-45-20 - 0171	 - IoU 0.7374	 - PD 0.0056	 - FA 36.2856
2026-03-03-12-37-39 - 0198	 - IoU 0.7389	 - PD 0.0048	 - FA 35.8949
2026-03-03-12-39-36 - 0199	 - IoU 0.7459	 - PD 0.0048	 - FA 29.0239
2026-03-03-13-35-45 - 0228	 - IoU 0.7475	 - PD 0.0042	 - FA 30.7704
2026-03-03-14-41-06 - 0262	 - IoU 0.7482	 - PD 0.0037	 - FA 26.0824
2026-03-03-14-43-03 - 0263	 - IoU 0.7501	 - PD 0.0036	 - FA 28.7481
2026-03-03-15-34-01 - 0289	 - IoU 0.7558	 - PD 0.0033	 - FA 23.3018
2026-03-03-15-36-03 - 0290	 - IoU 0.7572	 - PD 0.0033	 - FA 22.7963
2026-03-03-16-00-47 - 0303	 - IoU 0.7632	 - PD 0.0032	 - FA 22.3367
2026-03-03-16-02-48 - 0304	 - IoU 0.7642	 - PD 0.0031	 - FA 16.8444
2026-03-03-16-55-38 - 0331	 - IoU 0.7694	 - PD 0.0029	 - FA 19.7399
2026-03-03-16-57-41 - 0332	 - IoU 0.7779	 - PD 0.0029	 - FA 16.1320
