2026-03-03-06-14-23 - 0000	 - IoU 0.0013	 - PD 0.6531	 - FA 154784.1694
2026-03-03-06-15-39 - 0002	 - IoU 0.0400	 - PD 0.1882	 - FA 2490.8265
2026-03-03-06-16-22 - 0003	 - IoU 0.2690	 - PD 0.1633	 - FA 168.8336
2026-03-03-06-18-21 - 0006	 - IoU 0.3249	 - PD 0.1249	 - FA 259.8549
2026-03-03-06-18-59 - 0007	 - IoU 0.3658	 - PD 0.1110	 - FA 173.7680
2026-03-03-06-20-53 - 0010	 - IoU 0.4304	 - PD 0.0705	 - FA 52.1532
2026-03-03-06-21-35 - 0011	 - IoU 0.5127	 - PD 0.0754	 - FA 37.2740
2026-03-03-06-24-47 - 0016	 - IoU 0.5412	 - PD 0.0550	 - FA 63.0848
2026-03-03-06-28-45 - 0022	 - IoU 0.5602	 - PD 0.0404	 - FA 64.3754
2026-03-03-06-29-31 - 0023	 - IoU 0.5649	 - PD 0.0384	 - FA 59.5928
2026-03-03-06-36-45 - 0034	 - IoU 0.5774	 - PD 0.0262	 - FA 42.2084
2026-03-03-06-44-17 - 0045	 - IoU 0.5789	 - PD 0.0194	 - FA 35.9075
2026-03-03-06-46-30 - 0048	 - IoU 0.5801	 - PD 0.0185	 - FA 48.2056
2026-03-03-06-48-44 - 0051	 - IoU 0.5927	 - PD 0.0167	 - FA 19.2063
2026-03-03-06-51-35 - 0055	 - IoU 0.6173	 - PD 0.0160	 - FA 20.9524
2026-03-03-07-00-26 - 0067	 - IoU 0.6275	 - PD 0.0138	 - FA 32.9468
2026-03-03-07-04-05 - 0072	 - IoU 0.6323	 - PD 0.0124	 - FA 16.8530
2026-03-03-07-06-56 - 0076	 - IoU 0.6324	 - PD 0.0119	 - FA 22.6225
2026-03-03-07-09-09 - 0079	 - IoU 0.6354	 - PD 0.0112	 - FA 16.4734
2026-03-03-07-13-34 - 0085	 - IoU 0.6411	 - PD 0.0107	 - FA 21.8633
2026-03-03-07-18-42 - 0092	 - IoU 0.6466	 - PD 0.0099	 - FA 13.2091
2026-03-03-07-47-51 - 0132	 - IoU 0.6504	 - PD 0.0069	 - FA 31.5804
2026-03-03-07-50-50 - 0136	 - IoU 0.6568	 - PD 0.0068	 - FA 18.8268
2026-03-03-08-06-58 - 0158	 - IoU 0.6601	 - PD 0.0058	 - FA 11.9945
2026-03-03-08-49-57 - 0217	 - IoU 0.6609	 - PD 0.0042	 - FA 14.2719
2026-03-03-08-54-19 - 0223	 - IoU 0.6750	 - PD 0.0041	 - FA 11.9186
2026-03-03-08-58-00 - 0228	 - IoU 0.6762	 - PD 0.0041	 - FA 13.6646
